HyMap
; Estimated on October 27, 2009

ndim               126
aperture          25.0
ifov              2.50
nbits               12
elfnfac              0
lwir                 0


;Pixel      W/lgth          BW         opt        qntm         LSB       NOISE         opt
;No.          [um]        [um]       trans         eff       [e's]       Fixed     degrade
   0      0.453800    0.014000    0.500000    0.600000        50.0       150.0         1.0
   1      0.467400    0.014200    0.500000    0.600000        50.0       150.0         1.0
   2      0.481900    0.014200    0.500000    0.600000        50.0       150.0         1.0
   3      0.496900    0.014600    0.500000    0.600000        50.0       150.0         1.0
   4      0.511700    0.014900    0.500000    0.600000        50.0       150.0         1.0
   5      0.526500    0.014800    0.500000    0.600000        50.0       150.0         1.0
   6      0.541600    0.014900    0.500000    0.600000        50.0       150.0         1.0
   7      0.556500    0.014700    0.500000    0.600000        50.0       150.0         1.0
   8      0.571200    0.014500    0.500000    0.600000        50.0       150.0         1.0
   9      0.585900    0.014500    0.500000    0.600000        50.0       150.0         1.0
  10      0.600700    0.014800    0.500000    0.600000        50.0       150.0         1.0
  11      0.615500    0.014700    0.500000    0.600000        50.0       150.0         1.0
  12      0.630000    0.014300    0.500000    0.600000        50.0       150.0         1.0
  13      0.644300    0.014400    0.500000    0.600000        50.0       150.0         1.0
  14      0.658900    0.014900    0.500000    0.600000        50.0       150.0         1.0
  15      0.673600    0.014800    0.500000    0.600000        50.0       150.0         1.0
  16      0.688000    0.014600    0.500000    0.600000        50.0       150.0         1.0
  17      0.702400    0.014800    0.500000    0.600000        50.0       150.0         1.0
  18      0.716900    0.014900    0.500000    0.600000        50.0       150.0         1.0
  19      0.731300    0.014600    0.500000    0.600000        50.0       150.0         1.0
  20      0.745400    0.014600    0.500000    0.600000        50.0       150.0         1.0
  21      0.759600    0.014800    0.500000    0.600000        50.0       150.0         1.0
  22      0.773900    0.015200    0.500000    0.600000        50.0       150.0         1.0
  23      0.788100    0.014800    0.500000    0.600000        50.0       150.0         1.0
  24      0.802200    0.014700    0.500000    0.600000        50.0       150.0         1.0
  25      0.816300    0.015000    0.500000    0.600000        50.0       150.0         1.0
  26      0.830700    0.015300    0.500000    0.600000        50.0       150.0         1.0
  27      0.844900    0.015100    0.500000    0.600000        50.0       150.0         1.0
  28      0.858900    0.014800    0.500000    0.600000        50.0       150.0         1.0
  29      0.872500    0.015200    0.500000    0.600000        50.0       150.0         1.0
  30      0.874800    0.017000    0.500000    0.600000        50.0       150.0         1.0
  31      0.891900    0.016700    0.500000    0.600000        50.0       150.0         1.0
  32      0.907300    0.015100    0.500000    0.600000        50.0       150.0         1.0
  33      0.922800    0.016500    0.500000    0.600000        50.0       150.0         1.0
  34      0.938600    0.016200    0.500000    0.600000        50.0       150.0         1.0
  35      0.954100    0.015400    0.500000    0.600000        50.0       150.0         1.0
  36      0.969200    0.015500    0.500000    0.600000        50.0       150.0         1.0
  37      0.984400    0.016200    0.500000    0.600000        50.0       150.0         1.0
  38      0.999900    0.015700    0.500000    0.600000        50.0       150.0         1.0
  39      1.014900    0.015200    0.500000    0.600000        50.0       150.0         1.0
  40      1.029900    0.015600    0.500000    0.600000        50.0       150.0         1.0
  41      1.045100    0.015800    0.500000    0.600000        50.0       150.0         1.0
  42      1.060100    0.014800    0.500000    0.600000        50.0       150.0         1.0
  43      1.074600    0.015700    0.500000    0.600000        50.0       150.0         1.0
  44      1.089200    0.016200    0.500000    0.600000        50.0       150.0         1.0
  45      1.104100    0.015800    0.500000    0.600000        50.0       150.0         1.0
  46      1.118600    0.014800    0.500000    0.600000        50.0       150.0         1.0
  47      1.133000    0.014900    0.500000    0.600000        50.0       150.0         1.0
  48      1.147400    0.016100    0.500000    0.600000        50.0       150.0         1.0
  49      1.161800    0.015400    0.500000    0.600000        50.0       150.0         1.0
  50      1.176000    0.015300    0.500000    0.600000        50.0       150.0         1.0
  51      1.190200    0.015600    0.500000    0.600000        50.0       150.0         1.0
